cleaned_comment,translate
"hastek indonesia gelapdan hastek kabur aja duluitu trending topik suara mahasiswa anak anak muda sulit hidup indonesia mahasiswa rasa bahwa lulus kuliah jelas kerja apa lulus kuliah perintah gagal cipta lapang kerja luas luas gelisah mahasiswa anakanak muda sudah 3 thn lulus kuliah cari kerja sanasini sulit dapatikarna lapang kerja minimitulah situasi indonesia gelap pekat","id ke en: id ke en: id ke en: id ke en: id ke en"
"habis gelap terbit terang sehat slalu nya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"sekolah seng pinter leojok demo ae","ae ae ae ae ae "
"waktu kampanye kirain mbg duit bicara indonesia kaya 100 dampak keri","(keriting)"
"ya se7 kabinet ramping effisiensibro","terjemahkan id ke en: ya se7  terjemahkan id ke en:"
"sya berfikir beda mmg ekonomi lg sulit tp pk prabowo brupaya trus trutama mslh pertnian dn rkyt2 kcil","terjemahkan id ke en:kan id ke en:kan id ke en:"
"ini mahasewa bayar mengngatas nama masarakat","terjemahkan id ke en: ini mahasewa bayar terjemahkan id ke"
"kirain prabowo beda trnyata aja ngurus negara gk d bdanya kyak mulyono salut gub jabar kdm jauh inovatif","aja terjemahkan id ke en: terjemahkan id ke en:"
"bubar bubar indonesia tolong udah parah karna koruptor elite negara brengsek","terjemahkan id ke en: bubar bubar indonesia terjemahkan id ke en: bubar"
"klw anggar didik dipotongbenar2 layak rakyat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kucing asia nie bosssss","ssssssssssssssssssssssssssssssssssssss"
"ok gas ok gas jogetin aja","aja ok gas ok gas ok gas aja ok gaskan "
"jika program makan gratisberdampak padaefisiensiadalah benar keliru perlu revisi","ke en: terjemahkan id ke en:kan id ke en:kan id"
"awas jika ada elit partai yg ngompori mahasiswagiliran hutang barbarkalian diam gilir bangun tanpa hutang kalian ribut why pak bahlil awal ni bikin ricuh","kan id ke en:kan id ke en:kan id ke en:kan"
"banyak pimpin skrg munafik haus kuasa janji palsu nya kejar koroptor lindung koroptor","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"makanya mikir pakai otak sehat milih pimpin perosok 3x rasa miris","terjemahkan id ke en:kan id ke en:kan id ke en:"
"indonesia negara kejam kpd rakyat",". terjemahkan id ke en: indonesia negara kejam indonesia. terjemahkan id"
"oke gas oke gasbadogan gratis ndobos","indobos indobos indobos indobos indobos indobos"
"kabur sj negeri indonesia maju"," terjemahkan id ke en: maju maju maju maju maju maju maju maju"
"jumlah menteri gemuk boros tapi didik dan infrastruktur di pangkas 81 triliun dampak 2 jt kerja proyek di phk negara makin ancur","terjemahkan id ke en:kan id ke en:kan id ke en:"
"dari acara partai gerindra ubah demo mahasiswa masyarakat","ubah demo mahasiswa masyarakat ubah demo mahasiswa masyarakat masyarakat ubah demo mahasiswa masyarakat masyarakat masyarakat masyarakat"
"saat bukti kuat perintah rakyat","terjemahkan id ke en: saat bukti kuat perintah rakyat rakyat rakyat rakyat rakyat rakyat"
"ayo 98 indonesia","ayo 98 indonesia indonesia terjemahkan id ke en: indonesia indonesia terjemahkan"
"apa beda presiden 7 dg presiden ke8sama aja bedanyatidak pro dg rakyattidak berani tangkap koruptor","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"selamat nikmat hasil pilih 58","terjemahkan id ke en: selamat nikmat hasil pilih 58 terjemahkan id ke en"
"ndasmu ndasmu","terjemahkan id ke en: ndasmu terjemahkan id ke en: n"
"matahari mna bertahansutradaranya udah jln hti2 presiden jngan jtuh karna jlanmu sendri","terjemahkan id ke en: matahari mna bertahan terjemahkan id ke en:"
"aku bangga jd pro kuasa zhalim","terjemahkan id ke en: aku bangga jd pro kuasa zhalima"
"dulu zaman jokowi berani klen demo presiden demokratis klen demon","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"perintah dzolim","terjemahkan id ke en: perintah dzolim terjemahkan id ke en:"
"presiden pihak keluarga jokowi rakyat rakyat teriak adil jokowi prabowo hidup jokowi maklum presiden omon2","terjemahkan id ke en: presiden pihak keluarga jokowi terjemahkan id ke"
"gelapharusnya dri demo"," terjemahkan id ke en: gelapharusnya dri demo terjemah"
"bijak prabowo presiden nya","nya................."
"turut proyeksi bank dunia data duduk 2023 garis miskin indonesia ikut standar rp109600 hari duduk masuk kelompok miskin signifikan 1714 juta jumlah tara 6177 duduk miskin","rp109600 hari rp109600 hari rp109600 hari "
"ya allah jadi pa anis persiden orang orang bela rskyat","a a terjemahkan id ke en: terjemahkan id ke"
"gelap ndasmu","terjemahkan id ke en: gelap ndasmumumumumumu"
"memang skrng ngga arah nya bawa mana bangsa indonesia pimpin suram nya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mungkin prabowo benar indonesia bubar","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kata gaji 6 honorer angkat pns nyata balik","terjemahkan id ke en:kan id ke en:kan id ke en:"
"hidup mudah saat percaya kpd pimpin negara hidup susah terima cth presiden sukarno jelas beda situasi","terjemahkan id ke en:kan id ke en:kan id ke en:"
"biar pimpin baru jalan program nya kamu semua cuma duga ira pake asa guoblok semangat pak presiden dan jajar","aja terjemahkan id ke en: terjemahkan id ke en:"
"waduhhh revolusi antri sembako nehhhselalu rakyat derita was was nyata loh nyata indonesia ekonomi nya gelap","terjemahkan id ke en: kan id ke en:kan id ke en"
"jokowi tinggal tertawa bahak bahak lihat sprti bangsat kampretttt ini gara2 kebejatanya","jokowi jokowi jokowi jokowi jokowi"
"mana ketua dpr pny hati nurani tdk jika pny mundur jika tdk mau mundur arti msk baris genk jokodok jkw pdip pecahbromong kosong ngibuli rakyat negoro hancur mergo jkw pdip","terjemahkan id ke en:kan id ke en:kan id ke en:"
"kontras puas 100 lwbih 80 perseb dwngan demo","terjemahkan id ke en: kontras puas terjemahkan id ke en: kontras puas"
"majuterussssbenarbenarprokoroptorrrrr","rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr"
"mahasiswa elemen masyarakat cerdas gerak cepat tapi salah pilih ya brsedih buzer2 rp usak tatanan negara","terjemahkan id ke en: mahasiswakankankankankan"
"mahasiswa opo maneh to iki halahh bubar","opo maneh to iki? opo maneh to iki? "
"ndasmu wowo omonquot","quotquotquotquotquotquotquot qu"
"pergi aja dulu indonesia gelapppppp","pppppppppppppppppppppppppppppppppppppp"
"kalau sih tuju efesiensi sasaranbrdari anggar habis dl dl dak brkan alih sektor tani energi","terjemahkan id ke en: terjemahkan id ke en: energi energi"
"kita telah salah pilih pimpin negara ada yang lebih baik kok pilih si omon omon derita 5 tahun brow","terjemahkan id ke en: terjemahkan id ke en: kan id ke"
"enak jaman ku tohh",""
"yg bikin susah jokowi hrs tanggung","..................."
"prabowo buruk mulyono guru omon omon doang brnato no action talk only brpuaskah kelompok 58","terjemahkan id ke en: prabowo buruk mulyono guru omon omon"
"kalau nurut trs mulyonoya indinesia emasjd indonesia gelapbrpresidennya curhat trshrsnya omon omonttp langsung bergerakterutama menteri2 sdh tuadiganti bagus track recordnya","terjemahkan id ke en:kan id ke en:kan id ke en:"
"indonesia gelap kuasa nya macan asia tapi kabinet kabinet nya titip semua indonesia akan jadi negara kembang terus tapi gak maju maju","terjemahkan id ke en: indonesia gelap kuasa nya macan asia terjemah"
"jangan kait rakyat dasar bocah bocah","bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah bocah"
"gelqpppppp","pppppppppppppppppppppppppppppppppppppp"
"adil mulyono kroni","agus agus agus  agus agus "
"demi makan gratis hancur",""
"opoooo kuwiiii","..................."
"dari zaman suharto mega sby jokodok sekarangkorupsi rajalela aparat hukum kacau dpr bergunabahkan nyata2 korupsi dana csr bi lapang kerja habis rakyat main hina usir rampas tanah","kan id ke en:kan id ke en:kan id ke en:kan"
"lama2 indonesia hancur pimpin raja omon2 murid moliyono hasil merusaknegri","terjemahkan id ke en:kan id ke en:kan id ke en:"
"benar presiden skrng prabowo jokowi","jokowi jokowi jokowi jokowi jokowi jokowi jo"
"smua presiden salah nahasewa aja plg betol tp suara ttp lg lg org"," terjemahkan id ke en: terjemahkan id ke en: "
"rakyat tuntut adil cinta rakyat tethadap negeri jokowi adil nkri hancur rakyat udah murka","terjemahkan id ke en: rakyat tuntut adil rakyat tuntut adil "
"usaha sepi phk mana eh tukang sulap dijadiin stafsus tahan","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"nnti d prabowo quotndasmu","aja aja aja aja aja"
"gak puas hati ya apa2 salh","aja sih...... aja aja"
"rakyat rakyat rakyat prabwowo omon omon","omon omon omon omon omon omon omon omon omon o"
"gara2 mulyono indonesia bangkrut","aja. aja. terjemahkan id ke en: "
"akhir mahasiswa turun jgsemoga allah lindung adik","terjemahkan id ke en: akhir mahasiswa turun terjemahkan id ke en: akhir"
"nyesel gw kemarin pilih prabowo gibran kesini parah kerja sulit apa2 mahal bpjs sehat sulit obat amp rawat inap trus bayat bpjs sehat ujung2nya tetep suruh bayar","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"indonesia gelap banyak koruptor ambil uang rakyat coba koruptor hukum mati gua jamin indonesia gelap","indonesia gelap terjemahkan id ke en: indonesia gelap terjemahkan id ke en"
"lapang kerja sulitphk pengganguran tingkat ciri2 indonesia gelap","kerja terjemahkan id ke en: lapang kerja sulitphk pengganguran kerja"
"mahasiswa bayar demo maju gimana generasi mudah hasut demo bodoh bodoh","bayar demo bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh bodoh"
"sampe gue bom dapet kerja sementara wamenaker sibuk bahas isu2 politik fokus cari solusi kurang anggur terus rakyat makan kalo kerja indonesia aja sulit","terjemahkan id ke en:kan id ke en:kan id ke en:"
"emang bener susah banget nyari makan keluarga anggur stres tau krisis pikir sakit badan knp kiamat aja","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"presiden balas budi dukung nya","nya................."
"apa mrk kerja harga2 naikkatanya cipta ribu2 lapang kerjakok phk sulit cari pekerjaandan lari ln penuh butuh hidup kluargax","terjemahkan id ke en:kan id ke en:kan id ke en:"
"gelap dn suram pimpin nya teriak hidup koruptor besar no 3 di dunia danmelanjutkan program manusia korup dan tipu tipu rakyat pribumi biar tambah melarat dn memakmukan rakyat tiongkok dn oligarkhi","terjemahkan id ke en: gelap dn suram terjemahkan id ke en:"
"kali klurga jelas2 nepotisme bela habis2 an bukanyya hdup rkyta tetapi hidup jkwi","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"majutrusadikmahasiswabrjangantakutkamimasarakatbrmendukung"," terjemahkan id ke en: majutrusadikmahasiswatrusadikmahasiswatrus"
"yg kabinet gemuukk blm wamen staf khusus utus khusus dll dll brbr","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"samber gelap","terjemahkan id ke en: samber gelap gelap"
"jokowi prabowo papa setal uang brprabowo paksa utang budi jokowi ingat kala prabowo garis finish piala jokowi brbagaimana harap prabowo beliau terus legacy salah rezim jokowi brluka akibat pandemi covid era jokowi sembuh rasa sakit luka perintah era prabowo","kan id ke en:kan id ke en:kan id ke en:kan"
"yang bikin susah rakyat karna budaya korupsi jabat","terjemahkan id ke en: yang bikin susah rakyat karna budaya korupsi terjemahkan"
"gimana nggak gelap amp pro rakyat presiden disandra presiden krn salah tata kelola perintah","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"makanya janagn lupa isi token gk gelap gitu aja repott","terjemahkan id ke en:"
"gelap ndasmu","terjemahkan id ke en: gelap ndasmumumumumumu"
"the real omon omon","omon omon omon omon omon omon omon omon o"
"rezim kes liar amp ugal2an enak nyeh buat tnpa rakyat suruh bikin negara sndiri ajeh gtu daaaahhh","hhhhhhhhhhhhhhhhhhh"
"maju saudara2ku mahasiswa","aja sih"
"indonesia gelapbagi koruptor judol narkoba","narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba narkoba"
"uuudagakjelastlnguunyabrdibenarkanpakbiarbapakbrterpilih lagipakmaapyapak","terjemahkan id ke en: uuudagakjelaskan id ke en: u"
"salah usung dukung pilih","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"udaah jogetin ajaah yuk rakyat 58 jogetin yuk","terjemahkan id ke en: id ke en: idaah yuk rakyat 58"
"kalau efisiensi salah","terjemahkan id ke en: kalau efisiensi salah terjemahkan id ke en:"
"tolong baca teman teman ini alam saya saya kapal usaha german negara labuh benua asia afrika eropa kapal orang eropa asia orang asianya philippinaindia indonesia ada satu kata yang sakit buat saya orang eropa itu nanya dengan saya kamu asal dari mana saya jawab indonesia dia bilang indonesia negara besar dan kaya tapi sayang banyak korupsi kalo tidak indonesia seperti amerika dan negara asia seperti malaysiajepangkorea bahkan india yang sekarang negara sebut negara maju di asiadan satu lagi kerja di usaha luar lebih gampang interviewnya tidak mana malah di usaha dalam subhanallah susah kalo ga punya koneksi ini juga saya wakil teman teman saya luar sana","id ke en:kan id ke en:kan id ke en:kan id"
"ngutang aja","aja aja aja aja sih "
"hutang umkm tani nelayan putih harga gabah naik serap bulog pupuk langsung distribusi tani biaya haji turun gaji guru gaji hakim jaksa pagar laut bongkar tahap sidi polisi kritik ppn 12 dengar naek barang premium kritik phk honorer susul efisiensi anggar aspirasi sdh terima jamin phk terus tuntut oligarki babat","kan id ke en:kan id ke en:kan id ke en:kan"
"hilang mbg program jelass manfaat","terjemahkan id ke en: manfaat terjemahkan id ke en: manfaat manfaat"
"bagaimana indonesia gelap presiden nya si wowo surup jin solo hanya orang surup puja muja orang masalah buat rusa masyarakat","terjemahkan id ke en: bagaimana indonesia gelap presiden nya si wowo terjemah"
"indonesia darurat oligarki presiden rela kacung kelompok oligarki","terjemahkan id ke en: indonesia darurat oligarki terjemahkan id ke en"
"rakyat pro adil sdh murka","aja :)"
"anda sopan curiga","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"gua tinggal desa kota susah gk keluh perintah susah ya cari kerja cari aja gk pilih pilih perintah salah","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"sundel demo aja ubekbrbrotak pkibrbanyakan hoak","terjemahkan id ke en: sundel demo ajakan terjemahkan id"
"wowo gebleg",": : : terjemahkan id ke en: : "
"sy pesimiiis350t kabinet yg baru dilantiik bezerta antek9nya yg hoby bohong hoby kkn hoby kong kali kong hoby aji mumpung hoby jilat hoby nyusahkan rakyat indonesia hancuuur gatot ke anak cucu mereka","terjemahkan id ke en: sy pesimiiis350t  terjemahkan"
"sudah negri asai spesies korup kecut","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kenapa gaji jabat potong gaji 14 dr bukankah janji jabat layan rakyat","jabat rakyat jabat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat rakyat"
"sejak mulyono kerempeng kuasa indonesia","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"yg bikin gelap demo","       kan"
"awal smua dri mulyono sikurus bengis","aja sih...  aja sih aja"
"angkat presiden brhukuman mati koruptor brpemerkosabrpembunuh br","br br br br br br brpemerkosa brpem"
"bodoh ngapain ngurusin makan mala bikin bangkrut negaramending alokasi profesionalitas guru mudah kerja rkyt","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"bijak pro jabat rakyat rakyat peras sampe sisa ampas","ampas ampas ampas ampas terjemahkan id ke"
"kami heran perintah ngirit menteri ratus ide abal abal sikat korupsi sita harta negara lebih uang tambang indonesia hasil nya rakyat gelintir orang nikmat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"konyol makan gratis tp sekolah bayar mahal","terjemahkan id ke en: konyol terjemahkan id ke en: konyol "
"bowo omon omon","omon omon omon omon omon omon omon omon omon"
"baru 100 bicara koalisi permanen sudah 2 priode masih pikir nasib rakyat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"rakyat udah muak dg tingkah polah elit","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"mereka hidup makmur gelimang harta rakyat derita bijak lemah rakyat","rakyat rakyat rakyat terjemahkan id ke en: rakyat rakyat rakyat rakyat"
"saya dukung pak prabowo beliau peduli rakyat orang dendam jaga nkri ikhlas alm gusdur semua masalah indonesia cari jalan keluar aja provokator jatuh beliau beliau bersih indonesia jabat korupsi kerja","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"hidup tuh penuh uji jangan mau enak ajabrdemo buat diri sendiri cuma bikin macet langsung aja kirim utus ke dpr biar dpr yang bicara dengan menteri didik mereka kan udah gaji wakil rakyat ngapain kalian demo segala sok kaya pahlawan siang cuma bikin macet jalan ganggu orang mau dan pulang kerja toh kalian uang jajan dan kuliah masih minta sama orang tua harus orang udah sampai malah masih di jalan jebak macet dungu kalian","kan id ke en: terjemahkan id ke en: terjemahkan id ke en:"
"anggar pdd dipangkasitu bagus byk koropsinya","terjemahkan id ke en: anggar pdd terjemahkan id ke en: anggar"
